,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
1517,ぬ,ヌ,ぬ,"('助動詞', '*', '*', '*', '助動詞-ヌ', '終止形-一般')",14,20,
1563,ぬ,ヌ,ぬ,"('助動詞', '*', '*', '*', '助動詞-ヌ', '終止形-一般')",20,20,
2491,ぬ,ヌ,ぬ,"('助動詞', '*', '*', '*', '助動詞-ヌ', '終止形-一般')",14,28,
323,ぬるめ,ヌルメ,ぬるめ,"('形状詞', '一般', '*', '*', '*', '*')",1,12,
3379,ばかり,バカリ,ばかり,"('助詞', '副助詞', '*', '*', '*', '*')",14,8,
3400,ばかり,バカリ,ばかり,"('助詞', '副助詞', '*', '*', '*', '*')",17,8,
257,ばかり,バカリ,ばかり,"('助詞', '副助詞', '*', '*', '*', '*')",5,11,
319,ばかり,バカリ,ばかり,"('助詞', '副助詞', '*', '*', '*', '*')",15,11,
287,ばかり,バカリ,ばかり,"('助詞', '副助詞', '*', '*', '*', '*')",10,11,
584,ばっかり,バッカリ,ばっかり,"('助詞', '副助詞', '*', '*', '*', '*')",6,14,
2748,ひとり酒,ヒトリザケ,ひとり酒,"('名詞', '普通名詞', '一般', '*', '*', '*')",3,31,
2947,ひろみ,ヒロミ,ひろみ,"('名詞', '固有名詞', '人名', '名', '*', '*')",15,4,
1805,まかせ,マカセ,まかせ,"('名詞', '普通名詞', '一般', '*', '*', '*')",5,23,
1788,やら,ヤラ,やら,"('助詞', '副助詞', '*', '*', '*', '*')",2,23,
97,やら,ヤラ,やら,"('助詞', '副助詞', '*', '*', '*', '*')",15,1,
36,やら,ヤラ,やら,"('助詞', '副助詞', '*', '*', '*', '*')",5,1,
1956,られる,ラレル,られる,"('助動詞', '*', '*', '*', '助動詞-レル', '終止形-一般')",12,24,
648,れよ,レヨ,れる,"('助動詞', '*', '*', '*', '助動詞-レル', '命令形')",2,15,
1879,れ,レ,れる,"('助動詞', '*', '*', '*', '助動詞-レル', '連用形-一般')",1,24,
1144,れ,レ,れる,"('助動詞', '*', '*', '*', '助動詞-レル', '連用形-一般')",3,19,
650,れ,レ,れる,"('助動詞', '*', '*', '*', '助動詞-レル', '連用形-一般')",2,15,
193,れ,レ,れる,"('助動詞', '*', '*', '*', '助動詞-レル', '連用形-一般')",11,10,
2124,れる,レル,れる,"('助動詞', '*', '*', '*', '助動詞-レル', '終止形-一般')",3,26,
2193,れりゃ,レリャ,れる,"('助動詞', '*', '*', '*', '助動詞-レル', '仮定形-融合')",15,26,
1812,れ,レ,れる,"('助動詞', '*', '*', '*', '助動詞-レル', '連用形-一般')",6,23,
2864,れ,レ,れる,"('助動詞', '*', '*', '*', '助動詞-レル', '連用形-一般')",2,4,
23,わたしゃ,ワタシャ,わたしゃ,"('代名詞', '*', '*', '*', '*', '*')",4,1,
83,わたしゃ,ワタシャ,わたしゃ,"('代名詞', '*', '*', '*', '*', '*')",14,1,
116,わたしゃ,ワタシャ,わたしゃ,"('代名詞', '*', '*', '*', '*', '*')",20,1,
55,わたしゃ,ワタシャ,わたしゃ,"('代名詞', '*', '*', '*', '*', '*')",10,1,
2537,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",5,29,
1801,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",4,23,
2456,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",9,28,
2839,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",13,31,
1786,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",2,23,
1769,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",14,22,
1765,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",14,22,
2598,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",15,29,
2493,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",14,28,
2264,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",28,26,
1991,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",3,25,
1861,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",13,23,
2298,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",4,27,
2225,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",21,26,
2171,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",12,26,
2162,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",10,26,
2767,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",5,31,
2786,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",7,31,
2752,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",3,31,
2128,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",4,26,
2320,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",7,27,
2082,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",18,25,
2339,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",10,27,
2059,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",14,25,
2821,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",11,31,
2376,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",15,27,
2392,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",18,27,
2282,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",2,27,
1980,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",1,25,
2402,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",1,28,
