,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
158,死ぬ,シヌ,死ぬ,"('動詞', '一般', '*', '*', '五段-ナ行', '終止形-一般')",6,10,0
159,ま,マ,ま,"('感動詞', 'フィラー', '*', '*', '*', '*')",6,10,1
160,一緒,イッショ,一緒,"('名詞', '普通名詞', 'サ変可能', '*', '*', '*')",6,10,"1,0"
161,と,ト,と,"('助詞', '格助詞', '*', '*', '*', '*')",6,10,"0,1"
162,信じ,シンジ,信ずる,"('動詞', '一般', '*', '*', 'サ行変格', '連用形-一般')",6,10,3
163,て,テ,て,"('接続詞', '*', '*', '*', '*', '*')",6,10,1
164,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",6,10,0
165,わたし,ワタシ,わたし,"('代名詞', '*', '*', '*', '*', '*')",7,10,0
166,馬鹿,バカ,馬鹿,"('名詞', '普通名詞', '形状詞可能', '*', '*', '*')",7,10,1
167,です,デス,です,"('助動詞', '*', '*', '*', '助動詞-デス', '終止形-一般')",7,10,00
168,馬鹿,バカ,馬鹿,"('名詞', '普通名詞', '形状詞可能', '*', '*', '*')",7,10,1
169,でし,デシ,でし,"('助動詞', '*', '*', '*', '助動詞-デス', '終止形-一般')",7,10,00
170,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",7,10,
171,あなた,アナタ,あなた,"('代名詞', '*', '*', '*', '*', '*')",8,10,"2,1"
172,なぜ,ナゼ,なぜ,"('副詞', '*', '*', '*', '*', '*')",8,10,1
173,なぜ,ナゼ,なぜ,"('副詞', '*', '*', '*', '*', '*')",8,10,1
174,わたし,ワタシ,わたし,"('代名詞', '*', '*', '*', '*', '*')",8,10,0
175,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",8,10,1
176,捨て,ステ,捨てる,"('動詞', '一般', '*', '*', '下一段-タ行', '連用形-一般')",8,10,0
177,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",8,10,1
178,指,ユビ,指,"('名詞', '普通名詞', '一般', '*', '*', '*')",9,10,"0,1"
179,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",9,10,"1,0"
